County,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communication,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,"Infant mortality rate (deaths per 1,000 live births) ","Youth mortality rate (deaths per 1,000 pop.)",Lead exposure (% children under 6 exposed),"Vaccine-preventable diseases (prevalence per 10,000 pop.)",Supermarket access (% of low-income pop.),Contaminated drinking water (contaminant concentration over one compliance cycle),Water consumption (gallons/day/capita),Groundwater pollutants (sum of weighted site scores),Solid waste sites (sum of weighted site scores),"Salmonellosis prevalance (cases per 100,000)",Housing overcrowding (% of households),Housing cost burden (owners) (% of housing units),Housing cost burden (renters) (% of housing units),Outstanding Regional Housing Needs Allocation (RHNA) (% of construction permits),Homelessness (% of pop.),"Motor vehicle related deaths (per 100,000 pop.)","Property crime rate (per 100,000 pop.; five-year average) ","Homicide rate (per 100,000 pop.; five-year average)","Forcible rape (per 100,000 pop.; five-year average) ",Preschool enrollment (% of pop. ages 3-4),Third grade language arts proficiency (% of 3rd graders),Eighth grade math proficiency (% of 8th graders),Less than 9th grade education (% of pop. age 25+),Population without high school education (% of pop. ages 18-24 without high school diploma or equivalent),Broadband adoption rate (% of connections per housing units offered connection),Slow or no broadband service (% of households),Public library use (visits per capita),"Premature deaths (years of life lost before age 75 per 100,000 pop.; age-adjusted)",Poor mental health days (average days per month),Adult obesity (% of adult pop.),Diabetes prevalence (% of adults age 20+),"Drug overdose deaths (deaths per 100,000 pop.; age-adjusted)",Ozone concentration (average ppm),PM2.5 concentration (μg/m3),Traffic density (vehicles-km/hr/km),Carbon footprint (average CO2 emissions/household),Wildfire vulnerability (index of wildfire potential and social vulnerability),Voter registration (total registrations/eligible pop.),Voter turnout (total voters/eligible pop.),"Citizen complaints against peace officers (complaints/100,000)",Owner occupied homes (% of households),"Teen births (births per 1,000 female pop. ages 15-19)",Access to exercise opportunities (% of pop.),Child care deserts (% of pop.),Disconnected youth (% of pop. ages 16-24),Residential isolation (Non-white/white),Residential segregation (Non-white/white),"Hate crime rate (hate crimes/100,000) ","School bullying (allegations/100,000 students)",Female county supervisors (% of county supervisors),Linguistic isolation (% of households),College or graduate school enrollment (% of pop. age 15+),Associates degree holders (% of pop. age 25+),Bachelors degree holders (% of pop. age 25+),Advanced degree holders (% of pop. age 25+),,,,,NAME,Broadband.Adoption.Rate,CarbonFootprint,ForRapeClr_rate,HomicideClr_rate,PCT_LACCESS_LOWI15,PropertyClr_rate,RegistrationRate,TurnoutEligible,Visits.pc,bullying.rate,child.mort,complaint.rate,drinking_water_index,drug.od,gpcd,groundwater_threats,hatecrimerate,homelessness_rate,inf.mort,life_lost_rate,linguistic_isolation,ment_unhealthy_days,mv.deaths,ozone,pct_BLLgt4.5,pct_associates,pct_bachelors,pct_childcaredesert,pct_diabetic,pct_disconnected_youth,pct_enrolled,pct_exercise_access,pct_female,pct_graduate,pct_hburdenowner,pct_hburdenrenter,pct_homeownership,pct_hsincomplete,pct_lessthan9th,pct_met_and_above_m,pct_met_and_above_r,pct_obsese,pct_overcrowded,pct_preschoolenroll,pct_rhna_outstanding,pm25,prev.vax,res_iso_wnw,res_seg_wnw,salmonella.rate,solid_waste_sites,teen_birth_rate,traffic,un.or.underserved,wildfire.vulnerability
Humboldt,48.6,39.5,49.4,58.8,21.3,51.0,40.7,54.9,63.2,44.3,32.0,66.6,55.9,61.7,64.5,53.8,26.52,6.31,10.33,1.697542254,6.192480829,237.1453333,116.8771724,38.99166667,9.355,9.133333333,4,31.40327869,56.78002216,75.15898251,560.189,8.95,432.0614067,5.018820577,6.937781386,55.29453015,43.72314815,33.74489362,2.690484791,8.912395206,66,9.260515604,2.80942505,8953,4.3,28,8,31.61,0.027766667,6.025048469,541.122,40.82514286,0.797852631,61.19787438,57.99,14.39220607,56.5170663,20,70,62.02524172,15,0.288803405,0.267199108,1.476123699,200.8970286,40,2.096565615,12.42953777,9.393710527,19.33909084,10.08767609,,,,,Glenn,51.77,-42.836,-20.762,-2.864,-3.568,-305.71,45.946,52.74,2.278,-14.828,-26.115,-16.109,-573.827,-16.28,-147.522,-17.983,-3.58,-279.22,-4.47,-7336,-0.148,-4.1,-7.01,-0.048,-1.52,0.074,0.101,-0.675,-8,-20,0.057,49.7,0.2,0.044,-0.266,-0.434,0.576,-0.2,-0.14,33.164,43.593,-27,-0.05,0.357,-0.569,-8.592,-0.358,-0.194,-0.164,-16.74,-9.1,-34,-166.688,-0.234,-0.746
Imperial,38.5,59.4,35.4,27.1,56.1,67.2,39.0,84.5,32.6,20.8,48.2,47.7,28.0,26.2,46.0,16.0,16.12,3.52,2.46,0.629780077,9.204767067,356.2835484,129.8985118,9.391935484,4.141935484,21.45,11,27.94526993,50.64750394,90.51432983,641.264,5.79,369.9772723,0.666825964,3.889818123,48.79409352,36.79163265,33.74970588,17.79547004,21.33394244,58.5,21.28527712,1.880349195,5655,4.1,28,9,18.51,0.052612903,9.10952362,511.058,43.37357143,0.822728215,39.00320632,50.26,26.39519441,56.43391301,46,67,74.80342526,24,0.43169608,0.290142176,0,35.17596778,0,20.57007528,9.001294361,6.426346732,9.852380163,4.428595124,,,,,Humboldt,66,-40.825,-6.938,-5.019,-6.192,-432.061,61.198,57.99,2.809,-200.897,-26.115,-14.392,-254.687,-26.724,-116.877,-30.467,-1.476,-560.189,-6.172,-8882,-0.021,-4.23,-8.95,-0.034,-7.35,0.094,0.193,-0.62,-8,-15,0.117,70,0.4,0.101,-0.314,-0.562,0.565,-0.09,-0.027,33.745,43.723,-28,-0.04,0.553,-0.752,-6.025,-1.698,-0.289,-0.267,-9.397,-9.355,-20,-541.122,-0.093,-0.798
Inyo,54.0,62.6,59.0,42.7,52.6,47.4,66.2,93.2,62.4,54.5,51.9,68.6,44.3,40.1,65.9,28.3,,,9.52,0.732802052,12.19186194,586.0166667,207.9921482,5.341666667,7.95,13.98,2,24.2513212,43.57216318,86.66666667,357.241,,240.725474,1.099203078,5.496015389,53.50701403,39.88714286,45.95571429,4.300831444,11.21718377,70.3,12.37218814,,6345,3.8,24,9,23.58,0.060833333,3.702106628,209.77,37.465,0.555227016,55.87798846,60.58,35.72410003,63.65561924,33,49,53.41577356,19,0.244022476,0.298426501,0,0,0,3.466945289,4.22832981,7.482993197,15.89569161,9.380196523,,,,,Imperial,58.5,-43.374,-5.222,-0.876,-9.205,-369.977,41.369,50.26,1.88,-35.176,-16.12,-26.395,-356.284,-18.51,-129.899,-9.392,0,-630.323,-3.52,-5655,-0.154,-4.1,-5.79,-0.053,-2.46,0.067,0.099,-0.748,-9,-23,0.09,67,0,0.044,-0.279,-0.506,0.564,-0.213,-0.151,33.75,36.792,-28,-0.093,0.488,-0.905,-9.11,-0.63,-0.432,-0.29,-17.187,-4.142,-41.8,-511.058,-0.213,-0.823
Kern,38.5,51.8,35.2,31.3,50.3,48.4,50.9,58.2,23.3,44.5,35.8,41.3,32.5,29.7,51.8,19.3,19.29,6.03,1.45,0.861077477,5.375653486,701.5868212,172.9719267,15.59072848,2.798675497,9.25,9,27.31321422,50.75068986,86.4262014,92.177,9.13,432.6174631,3.573281866,10.19637118,34.42939395,38.57041667,23.43788991,13.95077961,17.18773073,67.8,8.477000079,1.2574652,7593,4.1,32,9,24.41,0.062940397,16.49822704,457.1244218,42.59043478,0.72782605,42.19704487,49.68,21.05277532,57.19547309,47,78,81.93819816,22,0.30034856,0.26277003,1.137987855,175.2855729,20,12.79271996,8.421689802,7.242259912,10.54996713,5.236316376,,,,,Inyo,70.3,-39.403,-5.496,-1.099,-11.794,-240.726,55.878,60.58,8.27,-12.729,-10.701,-35.724,-586.017,-23.58,-207.992,-6.687,0,-357.241,-3.305,-6345,-0.035,-3.8,-6.539,-0.061,-7.35,0.075,0.159,-0.534,-9,-19,0.05,49.7,0,0.094,-0.266,-0.436,0.637,-0.112,-0.043,45.956,39.887,-24,-0.02,0.535,-0.867,-4.907,-0.733,-0.244,-0.298,-13.98,-7.95,-33,-209.77,-0.124,-0.555
Kings,37.4,51.6,37.9,26.6,50.3,55.2,55.6,46.2,32.3,26.7,56.3,42.5,35.0,19.0,35.6,21.2,17.96,4.81,2.91,0.998781487,4.864678661,553.1242308,127.1822917,21.15740741,3.042592593,8.55,8,24.17787913,46.56286722,97.96416938,139.829,9.84,457.1755791,2.796588162,20.64148406,32.38955823,43.39675,36.16967742,12.87858177,20.41912323,65.3,21.08932462,1.100490735,5967,3.8,26,7,12.53,0.061555556,16.57703704,282.2385185,44.70714286,0.721487523,34.7069908,43.51,11.65245068,51.7721788,43,45,82.69977294,22,0.408533288,0.284255745,0.665854324,381.3001799,0,11.95190127,8.26162237,8.249083133,9.269879964,3.779560121,,,,,Kern,67.8,-42.59,-10.196,-3.573,-5.376,-432.618,42.197,50.197,1.274,-175.286,-19.29,-21.053,-680.713,-24.41,-172.972,-15.591,-1.138,-142.088,-6.03,-7593,-0.128,-4.1,-9.13,-0.061,-1.45,0.072,0.105,-0.819,-9,-22,0.084,78,0.2,0.052,-0.273,-0.508,0.572,-0.172,-0.14,23.438,38.57,-28,-0.09,0.357,-0.864,-12.467,-0.861,-0.3,-0.263,-9.397,-2.799,-41.8,-457.124,-0.085,-0.728
Lake,40.8,46.9,34.9,41.4,42.0,80.9,35.3,40.3,35.3,21.1,28.0,70.9,43.3,34.8,61.0,32.0,22.84,4.71,1.93,1.040122734,8.841796019,291.0213333,97.03690181,7.97,4.266666667,11.01666667,3,32.3983412,55.75013943,98.5483871,625.634,9.8,455.5737577,5.928699587,16.22591466,44.9343832,34.84368421,15.55866667,5.889708102,13.99257804,54.6,37.20136519,,11667,4.4,26,10,40.92,0.040333333,4.711428659,156.4033333,38.85538462,0.956581423,54.14774943,51.74,27.30322178,65.94750636,37,75,69.34862314,32,0.253772979,0.20180071,7.800920509,73.84160975,20,4.635619954,5.777852815,12.05967318,9.890915362,5.449920235,,,,,Kings,65.3,-44.707,-20.641,-2.797,-4.865,-457.176,41.369,50.197,1.274,-381.3,-17.96,-11.652,-553.124,-12.53,-127.182,-21.157,-0.666,-142.088,-4.81,-5967,-0.12,-3.8,-9.84,-0.061,-2.91,0.082,0.096,-0.822,-7,-22,0.083,49.7,0,0.044,-0.266,-0.466,0.522,-0.204,-0.129,36.17,43.397,-26,-0.08,0.357,-0.905,-12.467,-0.999,-0.409,-0.284,-9.397,-3.043,-41.8,-282.238,-0.211,-0.721
Lassen,42.5,45.5,44.4,37.9,54.0,41.5,72.5,26.4,36.4,34.4,48.8,63.7,45.8,41.5,49.5,21.9,,5.84,12.68,0,7.298171514,475.4766667,125.7181525,31.88333333,9.111111111,6.266666667,1,21.38041734,42.29212083,,298.697,9.32,1129.965046,3.177629488,27.3276136,41.2371134,42.03866667,32.00470588,4.170011596,30.15162814,62.1,11.28364389,1.168033047,6416,3.7,26,8,27.6,0.050333333,5.157998563,256.6155556,40.48071429,0.855652286,45.37654909,66.32,30.18748014,65.98877238,30,54,41.4331109,53,0.250756462,0.330989778,0,479.5204795,0,2.316877562,5.242319818,9.472839176,7.853893497,4.549103559,,,,,Lake,54.6,-39.403,-16.226,-5.029,-8.842,-455.574,54.148,51.74,5.056,-73.842,-22.84,-27.303,-291.021,-26.724,-97.037,-7.97,-5.148,-625.634,-4.71,-8882,-0.046,-4.23,-9.8,-0.04,-1.93,0.111,0.099,-0.693,-10,-23,0.058,75,0.2,0.054,-0.324,-0.558,0.659,-0.14,-0.059,23.19,35.634,-26,-0.03,0.449,-0.905,-4.907,-1.04,-0.254,-0.202,-11.017,-4.267,-37,-156.403,-0.234,-0.912
Los Angeles,51.3,53.2,58.0,43.7,73.6,56.5,31.8,60.5,56.0,69.6,66.9,43.4,33.3,68.7,36.9,43.3,13.85,4.16,1.18,0.897511331,1.647795398,554.7839306,167.9003087,12.89942382,2.340418267,11.03333333,12,36.66180893,56.11257133,65.29691969,571.894,6.51,287.2392492,3.441614563,17.45545741,54.055157,48.14515217,33.92805825,12.87606859,13.26023424,76.8,3.987264834,3.843860142,4946,3.6,22,9,7.57,0.049610329,11.5130253,1299.811081,43.14659259,0.608197618,51.98467759,56.96,34.05001642,45.89599775,24,94,63.50789187,14,0.565869187,0.339364571,4.146165905,153.4201594,80,14.81997235,10.64874656,6.924188725,20.35229822,10.87899456,,,,,Lassen,62.1,-40.481,-23.528,-3.178,-7.298,-630.544,45.377,66.32,1.274,-393.226,-10.701,-30.187,-475.477,-26.724,-125.718,-30.467,0,-298.697,-5.84,-6416,-0.023,-3.7,-9.32,-0.05,-7.35,0.095,0.096,-0.414,-8,-23,0.052,54,0,0.045,-0.266,-0.428,0.66,-0.217,-0.042,32.005,42.039,-26,-0.02,0.412,-0.719,-5.158,-0.287,-0.251,-0.331,-9.397,-9.111,-30,-256.616,-0.113,-0.856
Madera,38.9,51.5,35.7,32.1,44.2,43.3,53.2,68.8,20.5,44.6,48.4,36.5,37.0,30.3,51.9,18.3,25.71,5.38,1.4,0.539583873,9.380374066,731.226087,201.1789312,10.97173913,4,15.13333333,10,29.1144724,53.12406755,58.54579792,178.71,7.69,442.5019425,2.201502202,7.252007252,33.94375409,38.88974359,27.18878788,16.81651682,23.44040521,62.7,5.974264706,1.128962704,6592,4.2,26,8,13.75,0.061,11.52258971,358.4717391,46.13181818,0.903589122,37.61072261,50.64,18.13001813,62.30824598,44,74,70.48886299,23,0.286885421,0.235284857,0,138.9500012,0,17.64879456,7.286262885,7.903554779,9.308399933,4.527763903,,,,,Los Angeles,76.8,-43.147,-17.455,-3.442,-1.688,-287.239,51.985,56.96,3.844,-153.42,-13.85,-34.05,-554.784,-9.444,-167.9,-12.899,-4.146,-571.894,-4.16,-4946,-0.148,-3.6,-6.51,-0.05,-1.18,0.069,0.204,-0.635,-9,-14,0.106,94,0.6,0.109,-0.34,-0.561,0.522,-0.133,-0.129,33.928,48.145,-22,-0.093,0.541,-0.653,-11.513,-0.898,-0.52,-0.339,-11.033,-2.34,-24,-914.334,-0.042,-0.608
Marin,68.9,68.6,72.4,65.9,67.1,76.3,45.8,94.4,74.6,75.6,83.2,58.7,69.8,92.3,55.6,52.6,11.79,2.52,1.25,1.814831003,1.705931867,262.2052727,53.28105442,11.82818182,2.626363636,17.38333333,4,33.782097,49.81091877,70.14795474,428.275,2.42,212.1051784,1.073562002,5.06107801,72.89685443,61.00142857,52.53967742,3.79262516,14.40586327,85.9,6.618373395,7.399698636,3448,3.3,18,7,11.23,0.0306,7.227004333,1019.604444,49.17407407,0.379001632,61.65121504,78.91,11.88586502,64.1855674,8,94,20.79336232,10,0.345812971,0.357230217,3.450735007,149.9794383,60,5.018224589,7.222578517,6.374604172,32.46237994,25.04776112,,,,,Madera,62.7,-46.132,-7.252,-2.202,-9.38,-442.502,41.369,50.64,1.274,-138.95,-25.71,-18.13,-680.713,-13.75,-201.179,-10.972,0,-178.71,-5.38,-6592,-0.154,-4.2,-7.69,-0.061,-1.4,0.079,0.096,-0.705,-8,-23,0.073,74,0,0.045,-0.291,-0.531,0.623,-0.217,-0.151,27.189,38.89,-26,-0.093,0.357,-0.585,-11.523,-0.54,-0.287,-0.235,-15.133,-4,-41.8,-358.472,-0.06,-0.904
Mariposa,53.8,67.4,43.7,52.7,51.8,67.3,68.9,85.6,42.4,33.7,43.5,58.8,72.2,38.7,86.7,32.0,,,0,0.18877185,6.126659414,528.0566667,80.30694444,5.8,6.8,20.725,2,26.77315079,44.59770115,81.20603015,237.853,,251.4441047,0,11.32631102,29.33333333,41.31,39.79,2.650849443,16.45454545,55.7,15.80246914,7.192150866,7339,3.8,25,10,22.04,0.0585,6.717203262,86.70666667,38.6875,0.899122619,62.15313172,61.81,5.66315551,70.7425343,24,59,85.23615358,,0.12176643,0.138029088,0,41.96391104,20,1.132112621,4.390750844,8.487111892,14.77006444,9.651435267,,,,,Marin,83.9,-49.174,-5.222,-1.074,-1.706,-232.497,61.651,68.256,7.191,-149.979,-12.59,-11.886,-262.205,-11.23,-89.359,-11.828,-3.451,-428.275,-3.184,-4476,-0.05,-3.37,-3.486,-0.034,-1.25,0.067,0.254,-0.376,-7,-10,0.072,94,0.6,0.17,-0.338,-0.498,0.642,-0.144,-0.038,47.708,53.577,-19,-0.04,0.564,-0.701,-7.227,-1.815,-0.346,-0.339,-17.187,-2.626,-13,-914.334,-0.066,-0.441
Mendocino,44.0,46.3,39.7,46.6,37.0,53.7,46.2,50.1,34.1,25.4,43.9,64.9,56.4,38.0,70.6,31.1,27.81,7.66,2.07,0.914317062,6.759361803,329.5905,78.10991071,45.715,8.14,10.41666667,5,32.92140386,52.04988532,50.20920502,1414.906,5.91,499.6742745,3.200109718,13.71475593,40.83895853,33.57576923,22.818,6.239359201,12.14264663,53.4,18.10500905,5.347269049,8000,4.1,25,8,25.95,0.03775,5.97783412,332.512,41.19962963,0.908667295,58.3574294,60.76,16.00054859,59.18319583,32,65,59.93234054,23,0.197124518,0.158107218,4.571585311,88.33922261,50,7.026035364,6.418282973,7.812170642,16.40426118,8.379679925,,,,,Mariposa,55.7,-39.403,-11.326,-0.876,-6.127,-251.444,62.153,61.81,7.191,-41.964,-28.335,-7.292,-528.057,-22.04,-89.359,-6.687,0,-237.853,-7.098,-7339,-0.011,-3.8,-8.352,-0.058,-0.741,0.085,0.148,-0.822,-10,-20.649,0.05,59,0.2,0.097,-0.268,-0.446,0.707,-0.165,-0.027,39.79,41.31,-25,-0.02,0.357,-0.812,-6.717,-0.287,-0.136,-0.138,-17.187,-6.8,-24,-122.112,-0.158,-0.899
Merced,40.5,54.0,37.6,32.8,57.0,46.4,50.6,63.8,36.3,33.8,41.5,39.3,30.7,31.4,52.6,22.7,23.43,3.81,1.48,0.224391338,7.332366734,615.2971429,149.950836,25.25306122,2.431632653,11.2,9,27.51055672,48.56654842,90.53938964,169.789,10.54,372.2652306,3.889449867,8.377276637,48.25648084,37.1475,23.47744186,19.22944265,11.79757137,65.4,14.3905552,1.214170313,6749,4.3,26,9,14.2,0.056163265,12.89163265,423.3804082,44.29055556,0.85868107,37.07879876,46.87,18.32529264,51.98773672,37,48,75.42017278,18,0.460949103,0.194713477,1.121956692,37.16136704,20,16.68627883,11.37962954,7.204174704,8.945976674,4.812789821,,,,,Mendocino,53.4,-41.2,-13.715,-3.2,-6.759,-499.674,58.357,60.76,5.347,-88.339,-26.115,-16.001,-329.591,-25.95,-89.359,-30.467,-4.572,-630.323,-6.172,-8000,-0.07,-4.1,-5.91,-0.038,-2.07,0.078,0.164,-0.599,-8,-23,0.064,65,0.5,0.084,-0.329,-0.52,0.592,-0.121,-0.062,23.19,35.634,-25,-0.05,0.408,-0.502,-5.978,-0.914,-0.197,-0.158,-10.417,-8.14,-32,-332.512,-0.181,-0.909
Modoc,40.8,39.3,35.0,49.4,42.2,46.8,73.7,16.4,24.0,29.9,30.8,68.2,43.6,50.9,83.2,32.2,,,3.92,0,11.69797728,367.275,228.484375,13.1875,13.175,,3,29.37853107,41.81078332,,299.434,,692.0261728,19.96229345,37.70655429,40.11976048,29.806,22.728,5.706363106,42.997543,41.3,8.007117438,1.553399135,10391,4.1,23,10,29.05,0.0475,4.91508382,86.5925,39.502,0.873778978,57.29178219,52.62,72.08605967,72.97965915,27,35,33.02650549,,0.113982752,0.277824854,0,0,80,3.686818632,1.082937137,11.38353765,12.5364857,4.042615295,,,,,Merced,65.4,-44.291,-8.377,-3.889,-7.332,-372.265,41.369,50.197,1.274,-37.161,-23.43,-18.325,-615.297,-14.2,-149.951,-25.253,-1.122,-169.789,-3.81,-6749,-0.154,-4.23,-10.312,-0.056,-1.48,0.072,0.096,-0.754,-9,-18,0.114,49.7,0.2,0.048,-0.275,-0.486,0.522,-0.118,-0.151,23.477,37.148,-26,-0.09,0.483,-0.905,-12.467,-0.287,-0.461,-0.195,-11.2,-2.432,-37,-423.38,-0.144,-0.859
Mono,55.7,59.2,61.4,47.6,42.5,46.5,65.1,95.4,50.4,59.6,69.6,68.2,29.7,64.5,81.6,32.8,,,9.76,0.474225826,15.06029567,451.2933333,145.5469246,13.33333333,16.36666667,,2,35.30909091,29.54862727,45,355.669,,204.865557,0,2.845354958,49.09090909,29.772,38.48666667,9.451093686,4.791154791,70,7.572815534,7.993313416,3933,3.7,23,7,,0.058333333,1.998431213,124.1033333,40.96428571,0.626003379,46.03072983,58.26,49.79371177,56.13390488,21,92,24.87551572,,0.14964524,0.051629044,0,0,25,8.234918608,5.34200839,6.799422204,23.2150227,8.326454808,,,,,Modoc,51.77,-39.502,-23.528,-5.029,-11.698,-630.544,57.292,52.62,1.553,-12.729,-30.032,-37.786,-367.275,-26.724,-208.906,-13.188,0,-299.434,-2.706,-8882,-0.037,-4.1,-11.859,-0.048,-3.92,0.111,0.125,-0.376,-10,-18.413,0.05,49.7,0.6,0.044,-0.294,-0.428,0.73,-0.217,-0.057,23.19,35.634,-23,-0.03,0.401,-0.405,-4.915,-0.287,-0.136,-0.278,-7.987,-9.431,-27,-122.112,-0.08,-0.874
Monterey,45.2,48.1,48.0,39.9,57.3,55.5,30.1,55.9,25.8,44.8,70.5,65.3,35.6,47.5,39.5,37.8,15.21,4.39,2.15,1.17737229,3.473681124,643.2176344,136.4424629,13.46021505,2.666666667,12.75,13,33.06718019,53.83946122,78.95540105,684.03,5.32,335.5280168,4.34011746,14.49783918,37.50181554,37.42632184,29.04978261,19.54086855,17.66043401,72.9,15.83699931,3.96875808,5067,3.5,25,7,11.21,0.034817204,5.233452521,444.0235484,48.01464286,0.675817721,42.89005651,56.52,19.73830015,50.71741081,38,90,75.23316588,17,0.403944242,0.247641655,1.846858494,543.7260431,40,22.65968602,10.14079736,8.005190817,14.4710484,9.45094312,,,,,Mono,70,-40.964,-5.222,-0.876,-11.794,-232.497,46.031,58.26,7.191,-12.729,-10.701,-37.786,-451.293,-24.106,-145.547,-13.333,0,-355.669,-7.071,-4476,-0.082,-3.7,-2.963,-0.058,-7.35,0.068,0.232,-0.376,-7,-22.763,0.053,92,0.25,0.083,-0.34,-0.428,0.561,-0.09,-0.095,38.487,35.634,-23,-0.02,0.491,-0.477,-4.907,-0.474,-0.15,-0.134,-17.686,-9.431,-21,-124.103,-0.076,-0.626
Napa,59.0,54.7,60.0,62.4,62.0,54.8,53.6,49.3,43.1,63.0,73.4,65.1,66.4,76.5,57.7,51.8,14.46,3.53,1.13,1.891185892,2.319240102,588.02975,118.0534028,15.72,3.11125,16.65,6,31.5694256,50.77943615,58.02968961,223.396,2.73,420.4106237,2.127584128,23.11974753,45.11930586,42.50692308,26.82,9.925043912,12.20259128,78.6,8.084358524,4.945640226,4383,3.6,23,8,9.64,0.0349,7.737373482,426.695,46.88625,0.560989893,54.48955711,67.52,4.964362966,63.1147541,18,82,55.11719443,11,0.372034036,0.297754021,1.418389419,24.70530105,40,10.36011981,8.287145414,8.741472979,22.81769536,11.75503452,,,,,Monterey,72.9,-48.015,-14.498,-4.34,-3.474,-335.528,42.89,56.52,3.969,-393.226,-15.21,-19.738,-643.218,-11.21,-136.442,-13.46,-1.847,-630.323,-4.39,-5067,-0.154,-3.5,-5.32,-0.035,-2.15,0.08,0.145,-0.752,-7,-17,0.101,90,0.4,0.095,-0.331,-0.538,0.522,-0.177,-0.151,29.05,37.426,-25,-0.093,0.375,-0.79,-5.233,-1.177,-0.404,-0.248,-12.75,-2.667,-38,-444.024,-0.158,-0.676
Nevada,60.2,58.6,53.8,69.2,35.5,65.6,56.7,89.1,68.5,33.1,64.1,57.5,73.9,65.1,80.2,59.7,20.53,4.07,4.22,1.821161901,6.772804953,360.354,149.7687572,10.655,4.5175,11.03333333,2,35.98665555,51.43598117,60.12534273,206.398,3.8,248.0827212,1.821161901,1.618810579,48.66071429,48.81296296,46.24571429,1.94635525,10.69104431,68.6,28.45268542,4.018656792,5914,3.6,21,9,20.32,0.0537,6.140948017,319.369,43.845,0.767560319,69.63819584,73.34,14.67047087,74.22126479,14,62,61.83856412,14,0.090894098,0.157110243,1.011756612,104.1201844,20,1.632368329,6.202209006,10.76227804,22.84167866,12.98458913,,,,,Napa,78.6,-46.886,-23.12,-2.128,-2.319,-420.411,54.49,67.52,4.946,-24.705,-14.46,-7.292,-588.03,-9.64,-118.053,-15.72,-1.418,-223.396,-3.53,-4476,-0.104,-3.6,-3.486,-0.035,-1.13,0.087,0.228,-0.551,-8,-11,0.083,82,0.4,0.118,-0.316,-0.508,0.631,-0.122,-0.099,26.82,42.507,-23,-0.06,0.451,-0.58,-7.737,-1.842,-0.372,-0.298,-16.65,-3.111,-18,-426.695,-0.081,-0.561
Orange,64.4,68.9,65.1,59.6,79.4,71.8,48.4,81.5,73.2,70.2,77.2,45.3,52.0,81.9,50.3,58.8,13.82,3.16,1.17,0.695013059,0.891139214,362.7203952,146.8529984,8.640034364,2.245618557,12.85,9,33.04777326,54.98103912,44.82563771,151.847,6.23,286.7277433,1.425938648,10.10832064,52.20567575,54.81973872,47.74115646,8.533607735,10.0970703,86.2,6.123515794,3.717219889,4094,3.3,19,8,11.31,0.046764605,10.4535206,1274.480311,49.83059524,0.43123999,48.66224774,61.69,11.28075908,57.42095425,17,97,58.24306614,11,0.463969489,0.311896608,1.109063393,74.09655763,40,11.67780646,10.96329414,7.807207533,25.21389128,13.85994847,,,,,Nevada,68.6,-43.845,-5.222,-1.821,-6.773,-248.083,62.391,68.256,4.019,-104.12,-20.53,-14.67,-360.354,-20.32,-149.769,-10.655,-1.012,-206.398,-4.07,-5914,-0.016,-3.6,-3.8,-0.054,-4.22,0.108,0.228,-0.618,-9,-14,0.062,62,0.2,0.13,-0.34,-0.514,0.734,-0.107,-0.023,46.246,48.813,-21,-0.02,0.487,-0.601,-6.141,-1.821,-0.136,-0.157,-11.033,-4.518,-14,-319.369,-0.234,-0.768
Placer,67.8,68.2,64.4,70.8,57.5,63.9,65.7,89.7,79.9,52.8,76.8,53.2,75.6,85.8,58.3,66.3,13.95,3.79,2.63,1.440057602,3.024821566,226.0089286,190.4877406,11.32202381,2.238690476,15.45,2,30.65825803,49.09554329,57.64310694,206.408,3.74,280.5978906,0.746696535,6.613597877,56.17753835,57.47293478,54.07381818,2.167544727,9.915582618,79,13.41439876,3.466631999,4741,3.4,21,8,11.04,0.052392857,7.625043525,577.3931707,48.45357143,0.514428835,60.33548009,72.15,4.26683734,70.83585924,10,78,38.81808606,10,0.213352915,0.243800508,5.066869341,177.8916284,20,2.120905618,8.190458106,11.31279668,25.00440948,12.4841834,,,,,Orange,83.9,-49.383,-10.108,-1.426,-1.688,-286.728,48.662,61.69,3.717,-74.097,-13.82,-11.281,-362.72,-11.31,-146.853,-8.64,-1.109,-151.847,-3.184,-4476,-0.117,-3.37,-6.23,-0.047,-1.17,0.078,0.252,-0.582,-8,-11,0.11,97,0.4,0.139,-0.33,-0.55,0.574,-0.101,-0.085,47.708,53.577,-19,-0.09,0.522,-0.477,-10.454,-0.695,-0.464,-0.312,-12.85,-2.246,-17,-914.334,-0.061,-0.441
